id,self_employment_type,branch,age,gender,period,self_empl_persons,avg_personal_income,avg_self_empl_income
14690,1st_category_group,"Agriculture, forestry and fishing",65 to 74 years,Female,2011,1.7,28.4,20.1
14691,1st_category_group,"Agriculture, forestry and fishing",65 to 74 years,Female,2012,1.8,28.3,19.2
14692,1st_category_group,"Agriculture, forestry and fishing",65 to 74 years,Female,2013,2.0,27.4,20.3
14693,1st_category_group,"Agriculture, forestry and fishing",65 to 74 years,Female,2014,2.1,26.8,19.2
14694,1st_category_group,"Agriculture, forestry and fishing",65 to 74 years,Female,2015,2.2,25.7,18.4
14695,1st_category_group,"Agriculture, forestry and fishing",65 to 74 years,Female,2016,2.3,27.5,18.7
14696,1st_category_group,"Agriculture, forestry and fishing",65 to 74 years,Female,2017,2.5,30.8,21.7
14697,1st_category_group,"Agriculture, forestry and fishing",65 to 74 years,Female,2018,2.6,29.7,21.1
14698,1st_category_group,"Agriculture, forestry and fishing",65 to 74 years,Female,2019,2.7,31.7,22.2
14699,1st_category_group,"Agriculture, forestry and fishing",65 to 74 years,Female,2020,2.9,30.7,21.8
17616,1st_category_group,Manufacturing,75 years or older,Male,2011,0.1,53.5,32.9
17617,1st_category_group,Manufacturing,75 years or older,Male,2012,0.1,44.7,27.1
17618,1st_category_group,Manufacturing,75 years or older,Male,2013,0.1,43.3,29.3
17619,1st_category_group,Manufacturing,75 years or older,Male,2014,0.2,42.6,30.6
17620,1st_category_group,Manufacturing,75 years or older,Male,2015,0.2,43.0,28.7
17621,1st_category_group,Manufacturing,75 years or older,Male,2016,0.2,50.9,32.5
17622,1st_category_group,Manufacturing,75 years or older,Male,2017,0.2,51.4,34.4
17623,1st_category_group,Manufacturing,75 years or older,Male,2018,0.2,48.4,32.3
17624,1st_category_group,Manufacturing,75 years or older,Male,2019,0.2,58.0,37.5
17658,1st_category_group,Manufacturing,Younger than 25 years,Male,2011,0.6,28.7,26.7
17659,1st_category_group,Manufacturing,Younger than 25 years,Male,2012,0.7,27.3,23.8
17660,1st_category_group,Manufacturing,Younger than 25 years,Male,2013,0.7,27.0,24.3
17661,1st_category_group,Manufacturing,Younger than 25 years,Male,2014,0.7,29.4,26.4
17662,1st_category_group,Manufacturing,Younger than 25 years,Male,2015,0.8,30.9,26.2
17663,1st_category_group,Manufacturing,Younger than 25 years,Male,2016,0.8,33.0,28.9
17664,1st_category_group,Manufacturing,Younger than 25 years,Male,2017,0.9,34.5,30.0
17665,1st_category_group,Manufacturing,Younger than 25 years,Male,2018,0.9,37.2,33.4
17666,1st_category_group,Manufacturing,Younger than 25 years,Male,2019,1.1,37.1,34.0
17672,1st_category_group,Manufacturing,Younger than 25 years,Female,2011,0.1,19.3,16.3
17673,1st_category_group,Manufacturing,Younger than 25 years,Female,2012,0.1,17.3,14.5
17676,1st_category_group,Manufacturing,Younger than 25 years,Female,2015,0.1,17.2,12.3
17677,1st_category_group,Manufacturing,Younger than 25 years,Female,2016,0.1,17.7,13.7
17678,1st_category_group,Manufacturing,Younger than 25 years,Female,2017,0.1,19.0,12.9
17679,1st_category_group,Manufacturing,Younger than 25 years,Female,2018,0.1,17.6,13.2
17680,1st_category_group,Manufacturing,Younger than 25 years,Female,2019,0.1,17.9,14.0
17700,1st_category_group,Manufacturing,25 to 34 years,Male,2011,4.1,39.1,37.1
17701,1st_category_group,Manufacturing,25 to 34 years,Male,2012,4.1,38.1,35.9
17702,1st_category_group,Manufacturing,25 to 34 years,Male,2013,4.0,37.6,35.1
17703,1st_category_group,Manufacturing,25 to 34 years,Male,2014,4.0,39.6,36.6
17704,1st_category_group,Manufacturing,25 to 34 years,Male,2015,4.1,40.8,38.4
17705,1st_category_group,Manufacturing,25 to 34 years,Male,2016,4.3,43.0,40.3
17706,1st_category_group,Manufacturing,25 to 34 years,Male,2017,4.4,43.4,41.3
17707,1st_category_group,Manufacturing,25 to 34 years,Male,2018,4.8,45.9,43.2
17708,1st_category_group,Manufacturing,25 to 34 years,Male,2019,5.3,47.5,44.4
17709,1st_category_group,Manufacturing,25 to 34 years,Male,2020,5.5,49.5,45.0
17714,1st_category_group,Manufacturing,25 to 34 years,Female,2011,0.9,19.0,13.8
17715,1st_category_group,Manufacturing,25 to 34 years,Female,2012,0.9,19.4,13.5
17716,1st_category_group,Manufacturing,25 to 34 years,Female,2013,0.9,17.8,12.0
17717,1st_category_group,Manufacturing,25 to 34 years,Female,2014,0.9,18.1,13.2
17718,1st_category_group,Manufacturing,25 to 34 years,Female,2015,0.9,19.1,12.5
17719,1st_category_group,Manufacturing,25 to 34 years,Female,2016,1.0,20.3,14.1
17720,1st_category_group,Manufacturing,25 to 34 years,Female,2017,1.0,20.4,14.0
17721,1st_category_group,Manufacturing,25 to 34 years,Female,2018,1.1,21.7,15.6
17722,1st_category_group,Manufacturing,25 to 34 years,Female,2019,1.1,22.0,15.0
17742,1st_category_group,Manufacturing,35 to 44 years,Male,2011,10.0,46.6,43.0
17743,1st_category_group,Manufacturing,35 to 44 years,Male,2012,9.7,46.1,42.1
17744,1st_category_group,Manufacturing,35 to 44 years,Male,2013,9.2,45.9,42.2
17745,1st_category_group,Manufacturing,35 to 44 years,Male,2014,9.0,48.1,44.0
17746,1st_category_group,Manufacturing,35 to 44 years,Male,2015,8.6,49.4,44.9
17747,1st_category_group,Manufacturing,35 to 44 years,Male,2016,8.3,52.7,47.3
17748,1st_category_group,Manufacturing,35 to 44 years,Male,2017,8.0,53.8,47.4
17749,1st_category_group,Manufacturing,35 to 44 years,Male,2018,7.9,54.1,48.2
17750,1st_category_group,Manufacturing,35 to 44 years,Male,2019,7.9,53.9,49.2
17751,1st_category_group,Manufacturing,35 to 44 years,Male,2020,7.8,54.3,48.6
17756,1st_category_group,Manufacturing,35 to 44 years,Female,2011,3.3,22.8,17.9
17757,1st_category_group,Manufacturing,35 to 44 years,Female,2012,3.2,22.9,17.6
17758,1st_category_group,Manufacturing,35 to 44 years,Female,2013,3.0,22.7,17.4
17759,1st_category_group,Manufacturing,35 to 44 years,Female,2014,2.8,23.7,17.6
17760,1st_category_group,Manufacturing,35 to 44 years,Female,2015,2.6,23.8,17.5
17761,1st_category_group,Manufacturing,35 to 44 years,Female,2016,2.4,25.1,18.5
17762,1st_category_group,Manufacturing,35 to 44 years,Female,2017,2.3,25.9,18.3
17763,1st_category_group,Manufacturing,35 to 44 years,Female,2018,2.2,26.0,19.2
17764,1st_category_group,Manufacturing,35 to 44 years,Female,2019,2.2,26.5,19.6
17784,1st_category_group,Manufacturing,45 to 54 years,Male,2011,10.9,49.2,44.2
17785,1st_category_group,Manufacturing,45 to 54 years,Male,2012,11.2,48.6,43.1
17786,1st_category_group,Manufacturing,45 to 54 years,Male,2013,11.5,48.8,42.6
17787,1st_category_group,Manufacturing,45 to 54 years,Male,2014,11.8,50.2,44.6
17788,1st_category_group,Manufacturing,45 to 54 years,Male,2015,12.1,51.9,46.3
17789,1st_category_group,Manufacturing,45 to 54 years,Male,2016,12.4,54.2,48.3
17790,1st_category_group,Manufacturing,45 to 54 years,Male,2017,12.3,56.3,49.5
17791,1st_category_group,Manufacturing,45 to 54 years,Male,2018,12.5,57.2,51.3
17792,1st_category_group,Manufacturing,45 to 54 years,Male,2019,12.6,58.0,52.6
17793,1st_category_group,Manufacturing,45 to 54 years,Male,2020,12.1,56.9,50.6
17798,1st_category_group,Manufacturing,45 to 54 years,Female,2011,3.8,25.5,21.0
17799,1st_category_group,Manufacturing,45 to 54 years,Female,2012,3.8,25.0,20.2
17800,1st_category_group,Manufacturing,45 to 54 years,Female,2013,3.8,24.8,19.2
17801,1st_category_group,Manufacturing,45 to 54 years,Female,2014,3.9,25.5,20.1
17802,1st_category_group,Manufacturing,45 to 54 years,Female,2015,4.0,27.2,20.8
17803,1st_category_group,Manufacturing,45 to 54 years,Female,2016,4.0,28.8,22.4
17804,1st_category_group,Manufacturing,45 to 54 years,Female,2017,3.9,29.1,22.1
17805,1st_category_group,Manufacturing,45 to 54 years,Female,2018,3.8,30.0,23.7
17806,1st_category_group,Manufacturing,45 to 54 years,Female,2019,3.8,30.2,22.5
17807,1st_category_group,Manufacturing,45 to 54 years,Female,2020,3.5,31.1,23.4
17826,1st_category_group,Manufacturing,55 to 64 years,Male,2011,6.8,47.8,40.1
17827,1st_category_group,Manufacturing,55 to 64 years,Male,2012,6.8,46.4,37.9
17828,1st_category_group,Manufacturing,55 to 64 years,Male,2013,7.0,45.5,36.1
17829,1st_category_group,Manufacturing,55 to 64 years,Male,2014,7.4,46.3,38.3
17830,1st_category_group,Manufacturing,55 to 64 years,Male,2015,7.8,48.0,40.4
17831,1st_category_group,Manufacturing,55 to 64 years,Male,2016,8.1,49.3,42.1
17832,1st_category_group,Manufacturing,55 to 64 years,Male,2017,8.2,50.4,42.5
17833,1st_category_group,Manufacturing,55 to 64 years,Male,2018,8.8,51.7,45.0
17834,1st_category_group,Manufacturing,55 to 64 years,Male,2019,9.2,52.7,45.4
17835,1st_category_group,Manufacturing,55 to 64 years,Male,2020,9.6,53.3,45.7
17840,1st_category_group,Manufacturing,55 to 64 years,Female,2011,2.4,22.4,15.9
17841,1st_category_group,Manufacturing,55 to 64 years,Female,2012,2.4,22.5,15.3
17842,1st_category_group,Manufacturing,55 to 64 years,Female,2013,2.4,21.5,15.1
17843,1st_category_group,Manufacturing,55 to 64 years,Female,2014,2.5,22.5,15.4
17844,1st_category_group,Manufacturing,55 to 64 years,Female,2015,2.6,23.4,16.6
17845,1st_category_group,Manufacturing,55 to 64 years,Female,2016,2.6,24.5,17.7
17846,1st_category_group,Manufacturing,55 to 64 years,Female,2017,2.7,25.0,18.0
17847,1st_category_group,Manufacturing,55 to 64 years,Female,2018,2.8,26.4,19.0
17848,1st_category_group,Manufacturing,55 to 64 years,Female,2019,2.9,26.4,19.8
17849,1st_category_group,Manufacturing,55 to 64 years,Female,2020,2.9,27.7,20.4
17868,1st_category_group,Manufacturing,65 to 74 years,Male,2011,0.9,61.0,48.6
17869,1st_category_group,Manufacturing,65 to 74 years,Male,2012,0.9,66.3,51.1
17870,1st_category_group,Manufacturing,65 to 74 years,Male,2013,1.0,60.4,48.0
17871,1st_category_group,Manufacturing,65 to 74 years,Male,2014,1.2,59.8,47.0
17872,1st_category_group,Manufacturing,65 to 74 years,Male,2015,1.3,60.7,48.0
17873,1st_category_group,Manufacturing,65 to 74 years,Male,2016,1.5,61.8,48.6
17874,1st_category_group,Manufacturing,65 to 74 years,Male,2017,1.6,60.5,45.0
17875,1st_category_group,Manufacturing,65 to 74 years,Male,2018,1.9,56.5,46.0
17876,1st_category_group,Manufacturing,65 to 74 years,Male,2019,2.1,56.2,46.1
17882,1st_category_group,Manufacturing,65 to 74 years,Female,2011,0.3,28.5,21.5
17883,1st_category_group,Manufacturing,65 to 74 years,Female,2012,0.4,27.0,21.0
17884,1st_category_group,Manufacturing,65 to 74 years,Female,2013,0.4,27.0,20.0
17885,1st_category_group,Manufacturing,65 to 74 years,Female,2014,0.4,25.2,19.5
17886,1st_category_group,Manufacturing,65 to 74 years,Female,2015,0.5,26.2,18.7
17887,1st_category_group,Manufacturing,65 to 74 years,Female,2016,0.5,27.8,20.2
17888,1st_category_group,Manufacturing,65 to 74 years,Female,2017,0.5,27.0,19.3
17889,1st_category_group,Manufacturing,65 to 74 years,Female,2018,0.6,30.5,20.8
17890,1st_category_group,Manufacturing,65 to 74 years,Female,2019,0.6,27.2,19.4
19382,1st_category_group,Energy supply,45 to 54 years,Male,2013,0.1,82.2,73.8
19383,1st_category_group,Energy supply,45 to 54 years,Male,2014,0.1,92.8,78.2
19384,1st_category_group,Energy supply,45 to 54 years,Male,2015,0.1,82.2,72.8
19388,1st_category_group,Energy supply,45 to 54 years,Male,2019,0.1,67.9,60.3
19426,1st_category_group,Energy supply,55 to 64 years,Male,2015,0.1,77.0,52.0
19430,1st_category_group,Energy supply,55 to 64 years,Male,2019,0.2,74.4,61.3
20895,1st_category_group,Water supply and waste management,25 to 34 years,Male,2014,0.1,36.6,35.8
20896,1st_category_group,Water supply and waste management,25 to 34 years,Male,2015,0.2,42.3,35.8
20897,1st_category_group,Water supply and waste management,25 to 34 years,Male,2016,0.2,58.3,38.9
20898,1st_category_group,Water supply and waste management,25 to 34 years,Male,2017,0.2,41.5,38.5
20899,1st_category_group,Water supply and waste management,25 to 34 years,Male,2018,0.2,43.8,40.0
20900,1st_category_group,Water supply and waste management,25 to 34 years,Male,2019,0.3,41.9,41.7
20934,1st_category_group,Water supply and waste management,35 to 44 years,Male,2011,0.2,67.9,55.4
20935,1st_category_group,Water supply and waste management,35 to 44 years,Male,2012,0.2,61.5,52.1
20936,1st_category_group,Water supply and waste management,35 to 44 years,Male,2013,0.2,63.2,47.1
20937,1st_category_group,Water supply and waste management,35 to 44 years,Male,2014,0.2,56.9,49.3
20938,1st_category_group,Water supply and waste management,35 to 44 years,Male,2015,0.2,56.0,46.5
20939,1st_category_group,Water supply and waste management,35 to 44 years,Male,2016,0.2,68.5,47.7
20940,1st_category_group,Water supply and waste management,35 to 44 years,Male,2017,0.2,50.6,45.7
20941,1st_category_group,Water supply and waste management,35 to 44 years,Male,2018,0.2,53.8,46.4
20942,1st_category_group,Water supply and waste management,35 to 44 years,Male,2019,0.2,49.3,43.3
20976,1st_category_group,Water supply and waste management,45 to 54 years,Male,2011,0.2,60.8,57.6
20977,1st_category_group,Water supply and waste management,45 to 54 years,Male,2012,0.2,59.3,53.8
20978,1st_category_group,Water supply and waste management,45 to 54 years,Male,2013,0.2,59.7,56.4
20979,1st_category_group,Water supply and waste management,45 to 54 years,Male,2014,0.2,63.7,55.4
20980,1st_category_group,Water supply and waste management,45 to 54 years,Male,2015,0.2,61.8,54.2
20981,1st_category_group,Water supply and waste management,45 to 54 years,Male,2016,0.2,64.0,53.2
20982,1st_category_group,Water supply and waste management,45 to 54 years,Male,2017,0.3,71.0,52.3
20983,1st_category_group,Water supply and waste management,45 to 54 years,Male,2018,0.3,70.3,55.1
20984,1st_category_group,Water supply and waste management,45 to 54 years,Male,2019,0.2,65.0,51.4
21018,1st_category_group,Water supply and waste management,55 to 64 years,Male,2011,0.1,74.4,56.5
21020,1st_category_group,Water supply and waste management,55 to 64 years,Male,2013,0.1,72.8,60.0
21021,1st_category_group,Water supply and waste management,55 to 64 years,Male,2014,0.1,81.5,60.7
21022,1st_category_group,Water supply and waste management,55 to 64 years,Male,2015,0.1,70.2,58.0
21023,1st_category_group,Water supply and waste management,55 to 64 years,Male,2016,0.1,69.0,55.2
21024,1st_category_group,Water supply and waste management,55 to 64 years,Male,2017,0.1,62.8,52.0
21025,1st_category_group,Water supply and waste management,55 to 64 years,Male,2018,0.2,65.0,55.4
21026,1st_category_group,Water supply and waste management,55 to 64 years,Male,2019,0.1,65.4,51.6
22404,1st_category_group,Construction,75 years or older,Male,2011,0.1,38.8,25.2
22405,1st_category_group,Construction,75 years or older,Male,2012,0.1,38.7,26.4
