id,self_employment_type,branch,position_in_household,gender,period,self_empl_persons,avg_personal_income,avg_self_empl_income
14931,1st_category_group,"Agriculture, forestry and fishing",Main earner with partner,Male,2014,33.8,47.6,40.4
14932,1st_category_group,"Agriculture, forestry and fishing",Main earner with partner,Male,2015,32.7,47.8,39.0
14933,1st_category_group,"Agriculture, forestry and fishing",Main earner with partner,Male,2016,32.9,51.9,41.0
14934,1st_category_group,"Agriculture, forestry and fishing",Main earner with partner,Male,2017,34.0,58.6,45.7
14935,1st_category_group,"Agriculture, forestry and fishing",Main earner with partner,Male,2018,33.5,56.4,44.8
14936,1st_category_group,"Agriculture, forestry and fishing",Main earner with partner,Male,2019,33.3,59.4,46.1
14937,1st_category_group,"Agriculture, forestry and fishing",Main earner with partner,Male,2020,32.5,55.3,44.9
14942,1st_category_group,"Agriculture, forestry and fishing",Main earner with partner,Female,2011,5.9,37.8,32.1
14943,1st_category_group,"Agriculture, forestry and fishing",Main earner with partner,Female,2012,5.8,37.9,31.2
14944,1st_category_group,"Agriculture, forestry and fishing",Main earner with partner,Female,2013,5.7,38.6,33.6
14945,1st_category_group,"Agriculture, forestry and fishing",Main earner with partner,Female,2014,5.6,38.4,33.3
14946,1st_category_group,"Agriculture, forestry and fishing",Main earner with partner,Female,2015,5.4,37.0,30.4
14947,1st_category_group,"Agriculture, forestry and fishing",Main earner with partner,Female,2016,5.5,40.7,33.2
14948,1st_category_group,"Agriculture, forestry and fishing",Main earner with partner,Female,2017,5.8,49.9,41.3
14949,1st_category_group,"Agriculture, forestry and fishing",Main earner with partner,Female,2018,5.7,47.5,38.0
14950,1st_category_group,"Agriculture, forestry and fishing",Main earner with partner,Female,2019,6.0,51.3,40.6
14951,1st_category_group,"Agriculture, forestry and fishing",Main earner with partner,Female,2020,6.1,47.1,39.0
14970,1st_category_group,"Agriculture, forestry and fishing",Partner of main earnerr,Male,2011,11.4,15.1,18.5
14971,1st_category_group,"Agriculture, forestry and fishing",Partner of main earnerr,Male,2012,11.7,16.3,18.1
14972,1st_category_group,"Agriculture, forestry and fishing",Partner of main earnerr,Male,2013,11.1,17.8,20.7
14973,1st_category_group,"Agriculture, forestry and fishing",Partner of main earnerr,Male,2014,11.5,18.0,19.8
14974,1st_category_group,"Agriculture, forestry and fishing",Partner of main earnerr,Male,2015,12.0,16.3,17.6
14975,1st_category_group,"Agriculture, forestry and fishing",Partner of main earnerr,Male,2016,11.8,20.3,20.1
14976,1st_category_group,"Agriculture, forestry and fishing",Partner of main earnerr,Male,2017,10.8,28.3,26.9
14977,1st_category_group,"Agriculture, forestry and fishing",Partner of main earnerr,Male,2018,11.4,25.8,25.0
14978,1st_category_group,"Agriculture, forestry and fishing",Partner of main earnerr,Male,2019,11.5,28.9,26.8
14979,1st_category_group,"Agriculture, forestry and fishing",Partner of main earnerr,Male,2020,12.2,27.9,25.4
14984,1st_category_group,"Agriculture, forestry and fishing",Partner of main earnerr,Female,2011,20.1,20.3,17.2
14985,1st_category_group,"Agriculture, forestry and fishing",Partner of main earnerr,Female,2012,19.5,21.2,17.7
14986,1st_category_group,"Agriculture, forestry and fishing",Partner of main earnerr,Female,2013,19.4,22.1,19.1
14987,1st_category_group,"Agriculture, forestry and fishing",Partner of main earnerr,Female,2014,19.1,22.0,19.1
14988,1st_category_group,"Agriculture, forestry and fishing",Partner of main earnerr,Female,2015,18.8,21.7,17.5
14989,1st_category_group,"Agriculture, forestry and fishing",Partner of main earnerr,Female,2016,18.9,24.1,19.5
14990,1st_category_group,"Agriculture, forestry and fishing",Partner of main earnerr,Female,2017,19.2,29.5,24.1
14991,1st_category_group,"Agriculture, forestry and fishing",Partner of main earnerr,Female,2018,19.0,28.6,23.1
14992,1st_category_group,"Agriculture, forestry and fishing",Partner of main earnerr,Female,2019,18.7,30.6,24.9
14993,1st_category_group,"Agriculture, forestry and fishing",Partner of main earnerr,Female,2020,18.3,28.0,22.9
15054,1st_category_group,"Agriculture, forestry and fishing",Child of age,Male,2011,5.4,30.6,28.6
15055,1st_category_group,"Agriculture, forestry and fishing",Child of age,Male,2012,5.3,31.4,28.0
15056,1st_category_group,"Agriculture, forestry and fishing",Child of age,Male,2013,5.3,32.7,29.8
15057,1st_category_group,"Agriculture, forestry and fishing",Child of age,Male,2014,5.3,32.8,29.8
15058,1st_category_group,"Agriculture, forestry and fishing",Child of age,Male,2015,5.3,30.9,27.3
15059,1st_category_group,"Agriculture, forestry and fishing",Child of age,Male,2016,5.4,34.6,30.5
15060,1st_category_group,"Agriculture, forestry and fishing",Child of age,Male,2017,5.5,39.8,35.0
15061,1st_category_group,"Agriculture, forestry and fishing",Child of age,Male,2018,5.5,38.5,34.1
15062,1st_category_group,"Agriculture, forestry and fishing",Child of age,Male,2019,5.6,42.1,36.0
15063,1st_category_group,"Agriculture, forestry and fishing",Child of age,Male,2020,5.4,41.6,34.5
15068,1st_category_group,"Agriculture, forestry and fishing",Child of age,Female,2011,0.2,23.5,19.7
15069,1st_category_group,"Agriculture, forestry and fishing",Child of age,Female,2012,0.2,23.5,20.4
15070,1st_category_group,"Agriculture, forestry and fishing",Child of age,Female,2013,0.2,22.6,21.7
15071,1st_category_group,"Agriculture, forestry and fishing",Child of age,Female,2014,0.2,24.0,22.8
15072,1st_category_group,"Agriculture, forestry and fishing",Child of age,Female,2015,0.2,22.4,19.1
15073,1st_category_group,"Agriculture, forestry and fishing",Child of age,Female,2016,0.3,25.3,20.7
15074,1st_category_group,"Agriculture, forestry and fishing",Child of age,Female,2017,0.3,29.0,23.8
15075,1st_category_group,"Agriculture, forestry and fishing",Child of age,Female,2018,0.4,28.7,23.7
15076,1st_category_group,"Agriculture, forestry and fishing",Child of age,Female,2019,0.4,28.8,26.6
15096,1st_category_group,"Agriculture, forestry and fishing",Other member,Male,2011,1.5,15.8,16.8
15097,1st_category_group,"Agriculture, forestry and fishing",Other member,Male,2012,1.3,18.4,17.2
15098,1st_category_group,"Agriculture, forestry and fishing",Other member,Male,2013,1.2,20.1,19.3
15099,1st_category_group,"Agriculture, forestry and fishing",Other member,Male,2014,1.2,19.3,18.7
15100,1st_category_group,"Agriculture, forestry and fishing",Other member,Male,2015,1.3,17.0,15.8
15101,1st_category_group,"Agriculture, forestry and fishing",Other member,Male,2016,1.2,19.4,17.4
15102,1st_category_group,"Agriculture, forestry and fishing",Other member,Male,2017,1.2,27.2,24.3
15104,1st_category_group,"Agriculture, forestry and fishing",Other member,Male,2019,1.3,27.8,25.6
15110,1st_category_group,"Agriculture, forestry and fishing",Other member,Female,2011,0.6,8.3,9.3
15111,1st_category_group,"Agriculture, forestry and fishing",Other member,Female,2012,0.6,9.7,9.4
15112,1st_category_group,"Agriculture, forestry and fishing",Other member,Female,2013,0.5,9.8,9.7
15113,1st_category_group,"Agriculture, forestry and fishing",Other member,Female,2014,0.5,9.1,9.2
15114,1st_category_group,"Agriculture, forestry and fishing",Other member,Female,2015,0.6,7.8,8.7
15115,1st_category_group,"Agriculture, forestry and fishing",Other member,Female,2016,0.6,9.4,9.9
15116,1st_category_group,"Agriculture, forestry and fishing",Other member,Female,2017,0.5,15.1,12.9
15117,1st_category_group,"Agriculture, forestry and fishing",Other member,Female,2018,0.6,14.9,12.7
15118,1st_category_group,"Agriculture, forestry and fishing",Other member,Female,2019,0.6,15.3,13.7
16440,1st_category_group,Mining and quarrying,Main earner,Male,2011,0.1,79.8,68.2
16441,1st_category_group,Mining and quarrying,Main earner,Male,2012,0.1,88.2,74.9
16442,1st_category_group,Mining and quarrying,Main earner,Male,2013,0.1,87.0,75.3
16443,1st_category_group,Mining and quarrying,Main earner,Male,2014,0.1,92.1,75.5
16444,1st_category_group,Mining and quarrying,Main earner,Male,2015,0.1,89.8,74.6
16445,1st_category_group,Mining and quarrying,Main earner,Male,2016,0.1,80.9,70.4
16446,1st_category_group,Mining and quarrying,Main earner,Male,2017,0.1,80.2,68.6
16447,1st_category_group,Mining and quarrying,Main earner,Male,2018,0.1,83.4,70.2
16448,1st_category_group,Mining and quarrying,Main earner,Male,2019,0.2,74.9,64.8
16526,1st_category_group,Mining and quarrying,Main earner with partner,Male,2013,0.1,89.6,75.6
16527,1st_category_group,Mining and quarrying,Main earner with partner,Male,2014,0.1,96.1,76.2
16528,1st_category_group,Mining and quarrying,Main earner with partner,Male,2015,0.1,93.8,78.1
16532,1st_category_group,Mining and quarrying,Main earner with partner,Male,2019,0.1,78.3,68.4
18036,1st_category_group,Manufacturing,Main earner,Male,2011,26.5,53.7,47.7
18037,1st_category_group,Manufacturing,Main earner,Male,2012,26.3,53.6,47.2
18038,1st_category_group,Manufacturing,Main earner,Male,2013,26.0,53.5,46.9
18039,1st_category_group,Manufacturing,Main earner,Male,2014,26.7,54.8,48.1
18040,1st_category_group,Manufacturing,Main earner,Male,2015,27.2,56.3,49.4
18041,1st_category_group,Manufacturing,Main earner,Male,2016,27.7,58.8,51.4
18042,1st_category_group,Manufacturing,Main earner,Male,2017,27.6,60.2,51.8
18043,1st_category_group,Manufacturing,Main earner,Male,2018,28.9,60.7,53.6
18044,1st_category_group,Manufacturing,Main earner,Male,2019,29.8,61.3,54.5
18045,1st_category_group,Manufacturing,Main earner,Male,2020,29.4,61.4,54.0
18050,1st_category_group,Manufacturing,Main earner,Female,2011,2.5,36.9,30.4
18051,1st_category_group,Manufacturing,Main earner,Female,2012,2.6,35.9,29.5
18052,1st_category_group,Manufacturing,Main earner,Female,2013,2.5,35.3,28.4
18053,1st_category_group,Manufacturing,Main earner,Female,2014,2.6,36.6,29.7
18054,1st_category_group,Manufacturing,Main earner,Female,2015,2.6,38.4,31.0
18055,1st_category_group,Manufacturing,Main earner,Female,2016,2.6,39.6,32.3
18056,1st_category_group,Manufacturing,Main earner,Female,2017,2.7,39.4,31.4
18057,1st_category_group,Manufacturing,Main earner,Female,2018,2.7,41.5,34.2
18058,1st_category_group,Manufacturing,Main earner,Female,2019,2.8,42.1,34.1
18059,1st_category_group,Manufacturing,Main earner,Female,2020,2.7,45.3,37.0
18078,1st_category_group,Manufacturing,Main earner without partner,Male,2011,4.7,40.6,35.1
18079,1st_category_group,Manufacturing,Main earner without partner,Male,2012,4.9,40.0,34.2
18080,1st_category_group,Manufacturing,Main earner without partner,Male,2013,5.0,39.9,33.8
18081,1st_category_group,Manufacturing,Main earner without partner,Male,2014,5.1,42.2,35.9
18082,1st_category_group,Manufacturing,Main earner without partner,Male,2015,5.3,43.1,37.4
18083,1st_category_group,Manufacturing,Main earner without partner,Male,2016,5.5,45.7,40.0
18084,1st_category_group,Manufacturing,Main earner without partner,Male,2017,5.7,46.4,40.2
18085,1st_category_group,Manufacturing,Main earner without partner,Male,2018,6.0,47.9,42.7
18086,1st_category_group,Manufacturing,Main earner without partner,Male,2019,6.4,48.6,43.1
18087,1st_category_group,Manufacturing,Main earner without partner,Male,2020,6.5,48.5,42.1
18092,1st_category_group,Manufacturing,Main earner without partner,Female,2011,0.8,30.9,21.3
18093,1st_category_group,Manufacturing,Main earner without partner,Female,2012,0.9,29.7,20.2
18094,1st_category_group,Manufacturing,Main earner without partner,Female,2013,0.8,28.3,18.7
18095,1st_category_group,Manufacturing,Main earner without partner,Female,2014,0.9,30.0,18.9
18096,1st_category_group,Manufacturing,Main earner without partner,Female,2015,1.0,29.9,20.0
18097,1st_category_group,Manufacturing,Main earner without partner,Female,2016,1.0,31.9,20.6
18098,1st_category_group,Manufacturing,Main earner without partner,Female,2017,1.0,30.9,19.8
18099,1st_category_group,Manufacturing,Main earner without partner,Female,2018,1.0,32.7,21.7
18100,1st_category_group,Manufacturing,Main earner without partner,Female,2019,1.1,32.2,22.3
18120,1st_category_group,Manufacturing,Main earner with partner,Male,2011,21.8,56.6,50.0
18121,1st_category_group,Manufacturing,Main earner with partner,Male,2012,21.4,56.7,49.7
18122,1st_category_group,Manufacturing,Main earner with partner,Male,2013,21.0,56.7,49.5
18123,1st_category_group,Manufacturing,Main earner with partner,Male,2014,21.6,57.8,50.7
18124,1st_category_group,Manufacturing,Main earner with partner,Male,2015,21.9,59.4,52.0
18125,1st_category_group,Manufacturing,Main earner with partner,Male,2016,22.3,62.0,53.9
18126,1st_category_group,Manufacturing,Main earner with partner,Male,2017,22.0,63.8,54.6
18127,1st_category_group,Manufacturing,Main earner with partner,Male,2018,22.8,64.0,56.5
18128,1st_category_group,Manufacturing,Main earner with partner,Male,2019,23.4,64.8,57.5
18129,1st_category_group,Manufacturing,Main earner with partner,Male,2020,22.9,65.1,57.0
18134,1st_category_group,Manufacturing,Main earner with partner,Female,2011,1.7,39.5,34.2
18135,1st_category_group,Manufacturing,Main earner with partner,Female,2012,1.7,39.1,33.3
18136,1st_category_group,Manufacturing,Main earner with partner,Female,2013,1.6,39.0,32.5
18137,1st_category_group,Manufacturing,Main earner with partner,Female,2014,1.7,40.3,34.4
18138,1st_category_group,Manufacturing,Main earner with partner,Female,2015,1.7,43.2,36.7
18139,1st_category_group,Manufacturing,Main earner with partner,Female,2016,1.7,44.2,38.3
18140,1st_category_group,Manufacturing,Main earner with partner,Female,2017,1.6,44.8,37.6
18141,1st_category_group,Manufacturing,Main earner with partner,Female,2018,1.7,46.8,39.7
18142,1st_category_group,Manufacturing,Main earner with partner,Female,2019,1.7,48.5,41.3
18162,1st_category_group,Manufacturing,Partner of main earnerr,Male,2011,5.3,17.9,15.8
18163,1st_category_group,Manufacturing,Partner of main earnerr,Male,2012,5.6,17.3,14.9
18164,1st_category_group,Manufacturing,Partner of main earnerr,Male,2013,5.8,17.5,15.3
18165,1st_category_group,Manufacturing,Partner of main earnerr,Male,2014,5.8,19.1,16.8
18166,1st_category_group,Manufacturing,Partner of main earnerr,Male,2015,5.7,20.7,17.7
18167,1st_category_group,Manufacturing,Partner of main earnerr,Male,2016,5.8,21.3,18.5
18168,1st_category_group,Manufacturing,Partner of main earnerr,Male,2017,5.8,22.2,18.9
18169,1st_category_group,Manufacturing,Partner of main earnerr,Male,2018,5.9,23.5,20.0
18170,1st_category_group,Manufacturing,Partner of main earnerr,Male,2019,6.1,24.3,21.1
18171,1st_category_group,Manufacturing,Partner of main earnerr,Male,2020,6.5,25.3,21.6
18176,1st_category_group,Manufacturing,Partner of main earnerr,Female,2011,8.3,19.7,15.6
18177,1st_category_group,Manufacturing,Partner of main earnerr,Female,2012,8.1,19.6,15.0
18178,1st_category_group,Manufacturing,Partner of main earnerr,Female,2013,7.8,19.0,14.4
18179,1st_category_group,Manufacturing,Partner of main earnerr,Female,2014,7.9,19.6,14.9
18180,1st_category_group,Manufacturing,Partner of main earnerr,Female,2015,7.9,20.2,15.0
18181,1st_category_group,Manufacturing,Partner of main earnerr,Female,2016,7.8,21.6,16.1
18182,1st_category_group,Manufacturing,Partner of main earnerr,Female,2017,7.8,22.0,16.2
18183,1st_category_group,Manufacturing,Partner of main earnerr,Female,2018,7.8,22.6,17.1
18184,1st_category_group,Manufacturing,Partner of main earnerr,Female,2019,7.9,22.4,16.6
18185,1st_category_group,Manufacturing,Partner of main earnerr,Female,2020,7.6,22.8,16.7
18246,1st_category_group,Manufacturing,Child of age,Male,2011,1.3,29.2,26.4
18247,1st_category_group,Manufacturing,Child of age,Male,2012,1.4,28.2,25.1
18248,1st_category_group,Manufacturing,Child of age,Male,2013,1.4,27.5,24.7
18249,1st_category_group,Manufacturing,Child of age,Male,2014,1.4,29.8,26.6
18250,1st_category_group,Manufacturing,Child of age,Male,2015,1.6,30.6,27.3
18251,1st_category_group,Manufacturing,Child of age,Male,2016,1.7,33.5,29.5
18252,1st_category_group,Manufacturing,Child of age,Male,2017,1.8,34.4,30.4
18253,1st_category_group,Manufacturing,Child of age,Male,2018,1.9,36.2,33.1
18254,1st_category_group,Manufacturing,Child of age,Male,2019,2.1,37.7,34.4
18262,1st_category_group,Manufacturing,Child of age,Female,2013,0.1,17.6,11.7
18263,1st_category_group,Manufacturing,Child of age,Female,2014,0.1,14.4,11.0
18264,1st_category_group,Manufacturing,Child of age,Female,2015,0.1,15.6,12.6
18265,1st_category_group,Manufacturing,Child of age,Female,2016,0.1,18.5,14.0
18266,1st_category_group,Manufacturing,Child of age,Female,2017,0.1,19.2,13.5
18267,1st_category_group,Manufacturing,Child of age,Female,2018,0.1,20.6,14.9
18268,1st_category_group,Manufacturing,Child of age,Female,2019,0.1,19.1,13.2
18288,1st_category_group,Manufacturing,Other member,Male,2011,0.3,19.6,18.3
18289,1st_category_group,Manufacturing,Other member,Male,2012,0.3,18.3,14.3
18290,1st_category_group,Manufacturing,Other member,Male,2013,0.3,20.5,16.8
18291,1st_category_group,Manufacturing,Other member,Male,2014,0.3,21.6,17.6
18292,1st_category_group,Manufacturing,Other member,Male,2015,0.3,21.7,18.1
18293,1st_category_group,Manufacturing,Other member,Male,2016,0.3,25.9,21.0
18294,1st_category_group,Manufacturing,Other member,Male,2017,0.4,26.9,24.7
18295,1st_category_group,Manufacturing,Other member,Male,2018,0.4,27.3,24.9
18296,1st_category_group,Manufacturing,Other member,Male,2019,0.4,27.1,25.4
18308,1st_category_group,Manufacturing,Other member,Female,2017,0.1,14.6,12.0
18309,1st_category_group,Manufacturing,Other member,Female,2018,0.1,15.7,12.2
18310,1st_category_group,Manufacturing,Other member,Female,2019,0.1,14.8,13.1
19632,1st_category_group,Energy supply,Main earner,Male,2011,0.2,97.2,66.7
19633,1st_category_group,Energy supply,Main earner,Male,2012,0.2,86.9,67.5
19634,1st_category_group,Energy supply,Main earner,Male,2013,0.2,87.5,67.6
19635,1st_category_group,Energy supply,Main earner,Male,2014,0.3,95.1,78.1
19636,1st_category_group,Energy supply,Main earner,Male,2015,0.3,93.3,70.5
19637,1st_category_group,Energy supply,Main earner,Male,2016,0.2,87.4,56.3
19638,1st_category_group,Energy supply,Main earner,Male,2017,0.2,79.8,56.4
19639,1st_category_group,Energy supply,Main earner,Male,2018,0.2,75.1,59.9
19640,1st_category_group,Energy supply,Main earner,Male,2019,0.4,89.2,66.8
19716,1st_category_group,Energy supply,Main earner with partner,Male,2011,0.2,96.2,67.9
19717,1st_category_group,Energy supply,Main earner with partner,Male,2012,0.2,88.2,71.6
19718,1st_category_group,Energy supply,Main earner with partner,Male,2013,0.2,87.7,70.2
19719,1st_category_group,Energy supply,Main earner with partner,Male,2014,0.2,99.5,82.3
19720,1st_category_group,Energy supply,Main earner with partner,Male,2015,0.3,95.0,70.5
19721,1st_category_group,Energy supply,Main earner with partner,Male,2016,0.1,94.1,56.9
19722,1st_category_group,Energy supply,Main earner with partner,Male,2017,0.1,83.8,58.9
19723,1st_category_group,Energy supply,Main earner with partner,Male,2018,0.2,78.9,62.4
19724,1st_category_group,Energy supply,Main earner with partner,Male,2019,0.3,95.0,69.3
19780,1st_category_group,Energy supply,Partner of main earnerr,Female,2019,0.2,26.1,12.7
21228,1st_category_group,Water supply and waste management,Main earner,Male,2011,0.5,69.7,59.2
21229,1st_category_group,Water supply and waste management,Main earner,Male,2012,0.5,68.5,56.0
21230,1st_category_group,Water supply and waste management,Main earner,Male,2013,0.5,64.9,54.4
21231,1st_category_group,Water supply and waste management,Main earner,Male,2014,0.6,67.1,55.4
21232,1st_category_group,Water supply and waste management,Main earner,Male,2015,0.6,62.7,51.2
21233,1st_category_group,Water supply and waste management,Main earner,Male,2016,0.6,70.8,51.1
21234,1st_category_group,Water supply and waste management,Main earner,Male,2017,0.7,63.1,49.2
21235,1st_category_group,Water supply and waste management,Main earner,Male,2018,0.8,63.9,52.0
21236,1st_category_group,Water supply and waste management,Main earner,Male,2019,0.7,59.8,48.3
21272,1st_category_group,Water supply and waste management,Main earner without partner,Male,2013,0.1,52.4,43.0
21273,1st_category_group,Water supply and waste management,Main earner without partner,Male,2014,0.1,45.7,40.2
21274,1st_category_group,Water supply and waste management,Main earner without partner,Male,2015,0.1,44.2,39.2
21275,1st_category_group,Water supply and waste management,Main earner without partner,Male,2016,0.2,67.1,40.2
21276,1st_category_group,Water supply and waste management,Main earner without partner,Male,2017,0.2,51.4,42.1
21277,1st_category_group,Water supply and waste management,Main earner without partner,Male,2018,0.2,51.1,41.0
21278,1st_category_group,Water supply and waste management,Main earner without partner,Male,2019,0.2,46.4,40.4
21312,1st_category_group,Water supply and waste management,Main earner with partner,Male,2011,0.4,71.0,60.0
21313,1st_category_group,Water supply and waste management,Main earner with partner,Male,2012,0.4,70.4,58.1
21314,1st_category_group,Water supply and waste management,Main earner with partner,Male,2013,0.4,68.3,57.3
21315,1st_category_group,Water supply and waste management,Main earner with partner,Male,2014,0.5,72.5,59.0
21316,1st_category_group,Water supply and waste management,Main earner with partner,Male,2015,0.5,67.4,55.1
21317,1st_category_group,Water supply and waste management,Main earner with partner,Male,2016,0.5,71.9,54.1
21318,1st_category_group,Water supply and waste management,Main earner with partner,Male,2017,0.5,66.8,52.1
21319,1st_category_group,Water supply and waste management,Main earner with partner,Male,2018,0.6,68.6,54.7
21320,1st_category_group,Water supply and waste management,Main earner with partner,Male,2019,0.5,66.0,53.5
21445,1st_category_group,Water supply and waste management,Child of age,Male,2018,0.1,37.5,34.9
21446,1st_category_group,Water supply and waste management,Child of age,Male,2019,0.1,36.6,36.9
22824,1st_category_group,Construction,Main earner,Male,2011,93.3,43.5,40.1
22825,1st_category_group,Construction,Main earner,Male,2012,91.6,40.7,37.3
22826,1st_category_group,Construction,Main earner,Male,2013,91.0,40.8,37.2
22827,1st_category_group,Construction,Main earner,Male,2014,94.3,42.3,38.9
22828,1st_category_group,Construction,Main earner,Male,2015,99.3,43.8,40.0
22829,1st_category_group,Construction,Main earner,Male,2016,102.9,45.3,41.5
22830,1st_category_group,Construction,Main earner,Male,2017,106.8,47.5,43.0
22831,1st_category_group,Construction,Main earner,Male,2018,116.0,50.1,45.3
22832,1st_category_group,Construction,Main earner,Male,2019,125.3,51.1,46.1
22833,1st_category_group,Construction,Main earner,Male,2020,129.2,51.8,46.3
22838,1st_category_group,Construction,Main earner,Female,2011,1.7,37.6,33.1
22839,1st_category_group,Construction,Main earner,Female,2012,1.7,35.0,30.0
22840,1st_category_group,Construction,Main earner,Female,2013,1.6,35.2,29.6
22841,1st_category_group,Construction,Main earner,Female,2014,1.7,37.0,32.1
22842,1st_category_group,Construction,Main earner,Female,2015,1.7,38.2,32.4
22843,1st_category_group,Construction,Main earner,Female,2016,1.7,39.8,34.2
22844,1st_category_group,Construction,Main earner,Female,2017,1.7,41.2,34.6
22845,1st_category_group,Construction,Main earner,Female,2018,1.9,43.7,37.5
22846,1st_category_group,Construction,Main earner,Female,2019,2.0,45.4,38.8
22866,1st_category_group,Construction,Main earner without partner,Male,2011,18.6,33.4,30.3
22867,1st_category_group,Construction,Main earner without partner,Male,2012,19.0,31.0,27.4
22868,1st_category_group,Construction,Main earner without partner,Male,2013,18.7,30.9,27.6
22869,1st_category_group,Construction,Main earner without partner,Male,2014,19.5,32.8,29.4
22870,1st_category_group,Construction,Main earner without partner,Male,2015,21.2,34.3,31.0
22871,1st_category_group,Construction,Main earner without partner,Male,2016,22.5,35.7,32.5
22872,1st_category_group,Construction,Main earner without partner,Male,2017,23.9,37.6,34.4
22873,1st_category_group,Construction,Main earner without partner,Male,2018,27.1,40.3,36.7
22874,1st_category_group,Construction,Main earner without partner,Male,2019,31.3,41.1,37.4
22875,1st_category_group,Construction,Main earner without partner,Male,2020,33.5,41.2,36.6
22880,1st_category_group,Construction,Main earner without partner,Female,2011,0.4,33.8,27.8
22881,1st_category_group,Construction,Main earner without partner,Female,2012,0.5,31.4,25.2
22882,1st_category_group,Construction,Main earner without partner,Female,2013,0.4,32.7,24.7
